name,subway,distance,overall_rating,location_lat,location_lng
Table Fun 桌游吧(德政中路店),团一大广场,930,4.1,23.132177,113.281654
无着庵,团一大广场,467,4,23.127907,113.28231
广州市消防局旧址,团一大广场,900,4,23.12808,113.27681
文德楼,团一大广场,625,4,23.127329,113.27945
省港罢工纪念馆,团一大广场,85,4,23.124212,113.28374
明远楼,团一大广场,718,4,23.130705,113.28411
基督教救主堂,团一大广场,731,3.9,23.126099,113.2777
白云楼鲁迅故居,团一大广场,298,3.9,23.122936,113.28712
大沙头游船码头,团一大广场,965,3.8,23.118734,113.291855
百岁坊公园,团一大广场,946,3.8,23.131702,113.2801
萝岗会议中心,萝岗,721,3.8,23.185604,113.483284
市民公园,萝岗,475,3,23.185196,113.48673
西苑小游园,西场,584,5,23.14166,113.25005
西焦生态公园,西场,268,4.3,23.140837,113.24543
第一视觉,西场,964,1.6,23.13753,113.25178
滨河景观公园,世纪莲,967,5,22.977947,113.12662
滨河景观公园儿童乐园,世纪莲,941,5,22.977936,113.12621
佛山科学馆,世纪莲,341,4.1,22.973644,113.122604
佛山公园,世纪莲,663,3.2,22.96846,113.12691
荷村公园,世纪莲,761,3,22.966116,113.115746
星光101影视文化创意园,世纪莲,270,3,22.971708,113.12353
观音堂,梅花园,979,5,23.18678,113.33443
京溪古道,梅花园,680,4.8,23.186142,113.330986
海心园,大剧院,569,5,23.117594,113.327446
猎德鼓塔,大剧院,948,5,23.121264,113.34052
广东省博物馆,大剧院,238,4.7,23.12053,113.333405
海心沙亚运公园,大剧院,452,4.5,23.117277,113.33147
宏城公园,大剧院,946,4.5,23.11638,113.32373
天后庙,大剧院,628,4.3,23.119772,113.33715
花城广场音乐喷泉,大剧院,241,4,23.123512,113.3311
亚运展馆,大剧院,447,1,23.1179,113.32897
海心沙码头,大剧院,605,4.3,23.116295,113.333466
桂园社区公园,朝安,952,5,23.037868,113.13208
孙中山学铜像,东山口,748,5,23.132263,113.29521
天主堂(山河后街),东山口,790,5,23.124327,113.30635
省委礼堂,东山口,870,5,23.122522,113.301704
小天使乐园,东山口,965,5,23.135918,113.29498
新河浦历史文化博物馆,东山口,747,5,23.124577,113.306
艺海堂美术馆,东山口,852,4.7,23.137873,113.30067
中共三大会址纪念馆,东山口,576,4.2,23.125162,113.30246
奇乐儿儿童主题公园(东山锦轩店),东山口,105,4.2,23.131273,113.30203
豆豆开心乐园 (豆豆开心乐园 ),东山口,252,4.2,23.130686,113.29978
广州市基督教东山堂,东山口,227,4,23.128855,113.30376
逵园,东山口,554,4,23.125393,113.3029
扉艺廊,东山口,188,4,23.13175,113.30121
华艺国际拍卖,东山口,998,4,23.123516,113.29587
东山画院,东山口,945,4,23.12297,113.30683
广州画院美术馆,东山口,999,3.8,23.132576,113.292755
东山宾馆-会议中心,东山口,794,3.4,23.13646,113.30623
东山少爷公园,东山口,514,3.3,23.125938,113.30067
春园,东山口,654,3.3,23.124454,113.30235
隅园,东山口,641,3,23.127596,113.30774
元岗公园,天河客运站,577,5,23.18166,113.3504
洪圣庙,天河客运站,308,3,23.178652,113.352234
同义园,天河客运站,509,3,23.181007,113.35104
西,西朗,193,3.5,23.069601,113.237465
陈氏书院,陈家祠,155,4.5,23.132933,113.25227
广东民间工艺博物馆,陈家祠,155,4.5,23.132933,113.25227
基督教光孝堂,陈家祠,954,4.3,23.132383,113.26208
荔枝湾,陈家祠,944,4.1,23.127598,113.24464
山姆和苏珊儿童乐园,陈家祠,961,4.1,23.125982,113.24564
梁氏宗祠,陈家祠,999,4,23.127495,113.24408
宝生大押,陈家祠,766,4,23.131502,113.26027
广州佛教陶轮学社,陈家祠,607,4,23.129658,113.25832
广州市禁毒教育馆,陈家祠,949,3.8,23.127815,113.24446
越富宝宝屋儿童乐园,陈家祠,974,3.8,23.135977,113.26104
基督教锡安堂,陈家祠,837,3.5,23.128937,113.26044
陈家祠道,陈家祠,296,3.5,23.133013,113.250305
西城门瓮城遗址,陈家祠,793,2,23.13104,113.260506
第一视觉,陈家祠,665,1.6,23.13753,113.25178
四面佛,长寿路,677,5,23.125502,113.24214
上下九商业步行街-雕像,长寿路,727,5,23.120842,113.25476
仁威祖庙,长寿路,868,4.5,23.129192,113.24216
西关民俗馆,长寿路,633,4.3,23.125479,113.242584
广州基督教十甫堂,长寿路,537,4.3,23.12425,113.24333
荔湾湖公园,长寿路,990,4.2,23.126917,113.239395
詹天佑故居,长寿路,629,4.2,23.11894,113.246056
荔枝湾,长寿路,561,4.1,23.127598,113.24464
山姆和苏珊儿童乐园,长寿路,367,4.1,23.125982,113.24564
华林禅寺,长寿路,503,4,23.122524,113.253204
仁威庙,长寿路,810,4,23.128868,113.2426
梁氏宗祠,长寿路,595,4,23.127495,113.24408
陈廉伯公馆,长寿路,641,4,23.125854,113.24261
迪吉大押旧址,长寿路,930,4,23.11584,113.25007
广州市禁毒教育馆,长寿路,590,3.8,23.127815,113.24446
锦纶会馆,长寿路,565,3.5,23.122398,113.25381
荔湾博物馆,长寿路,641,3.4,23.125458,113.24249
广东八和会馆,长寿路,551,3.4,23.119963,113.245605
西关大宅门,长寿路,584,3,23.124117,113.24287
小宇宙儿童乐园(燕汇广场店),江泰路,229,4.1,23.088598,113.28477
美婴开心堡乐园(燕汇广场店),江泰路,250,3,23.08875,113.284584
海心园,珠江新城,847,5,23.117594,113.327446
广东省博物馆,珠江新城,782,4.7,23.12053,113.333405
海心沙亚运公园,珠江新城,963,4.5,23.117277,113.33147
花城广场音乐喷泉,珠江新城,396,4,23.123512,113.3311
亚运展馆,珠江新城,823,1,23.1179,113.32897
珠江-英博国际啤酒博物馆,磨碟沙,856,4.2,23.111914,113.3493
珠江.琶醍啤酒文化创意艺术区,磨碟沙,957,3.6,23.11282,113.34669
小勇士儿童智能拓展中心,礌岗,832,4.8,23.041853,113.16126
雷岗公园,礌岗,781,4.1,23.048788,113.154205
南海活水公园,礌岗,519,4,23.052166,113.15779
瑞辉麦公祠,黄阁汽车城,702,4,22.836857,113.51245
天后古庙,黄阁汽车城,935,3,22.836891,113.508995
莲溪凤山公园,黄阁汽车城,668,3,22.83624,113.51551
环游乐园新天地店,大学城北,756,4.8,23.067337,113.39865
大学城贝克街真人版,大学城北,291,4,23.063082,113.38954
张氏大宗祠,大沙地,508,5,23.109951,113.4574
狮山公园,大沙地,598,4,23.104788,113.44874
黄埔公园,大沙地,788,3.7,23.104145,113.45833
瓦壶岗公园,大沙地,852,3,23.105453,113.44509
反弹蹦床公园,黄村,731,4.4,23.136318,113.42043
七彩游乐园,黄村,669,4,23.13659,113.41989
海心园,广州塔,667,5,23.117594,113.327446
广州塔瞭望镜,广州塔,72,5,23.111712,113.33043
广州塔-珠江摄影观景平台,广州塔,72,4.7,23.111712,113.33043
海心沙亚运公园,广州塔,612,4.5,23.117277,113.33147
宏城公园,广州塔,788,4.5,23.11638,113.32373
越秀南粤先贤公园,广州塔,772,4.5,23.115458,113.32324
广州塔-E区观光层,广州塔,131,4.3,23.112295,113.33103
广州名人蜡像馆,广州塔,130,4.2,23.112335,113.33101
赤岗塔,广州塔,545,3.5,23.10709,113.329994
广州塔观光区西登塔,广州塔,72,3,23.111712,113.33043
亚运展馆,广州塔,662,1,23.1179,113.32897
海心沙码头,广州塔,608,4.3,23.116295,113.333466
沥滘公园,沥滘,672,3,23.066483,113.323685
新鱼公园,沥滘,125,3,23.0602,113.3267
广外国际学术交流中心,萧岗,842,4,23.20431,113.295044
黄石公园,萧岗,692,2.7,23.210855,113.285934
宝珍堂艺术馆,广州东站,657,5,23.151236,113.32676
燕岭公园,广州东站,566,4.2,23.160563,113.33283
天河飘绢,广州东站,385,3.7,23.152382,113.33141
兴华村公园,广州东站,975,3,23.164581,113.33076
冯如坠机处,广州东站,971,3,23.154202,113.321495
正佳海洋馆,天河南,348,4.4,23.13865,113.33366
环游嘉年华(天河城店),天河南,241,4.2,23.138758,113.32918
文理一堂,天河南,953,4,23.142672,113.337776
Manga漫界动漫天地,天河南,387,4,23.136461,113.33442
爱淘站儿童欢乐天地,天河南,429,3.9,23.139809,113.3277
华师附中新世界学校展厅,嘉禾望岗,555,5,23.242155,113.30024
彭上公园,嘉禾望岗,970,3.4,23.238056,113.28795
蔬菜公园,嘉禾望岗,672,2.5,23.249378,113.29256
大沙河湿地,龙溪,701,2.7,23.068579,113.20502
正佳海洋馆,黄埔大道,720,4.4,23.13865,113.33366
环游嘉年华(天河城店),黄埔大道,698,4.2,23.138758,113.32918
Manga漫界动漫天地,黄埔大道,552,4,23.136461,113.33442
爱淘站儿童欢乐天地,黄埔大道,857,3.9,23.139809,113.3277
华南农业大学湿地公园,五山,331,4.5,23.159498,113.36143
晓港公园游乐场,江南西,930,5,23.102926,113.28941
清远国旅(太和古洞),江南西,722,4.5,23.101677,113.27358
奇乐儿儿童主题公园(广百新一城店),江南西,886,4.2,23.09937,113.27297
十香园,江南西,560,4.1,23.098536,113.280396
岭南画派纪念馆,江南西,792,4,23.099026,113.28631
晓港公园,江南西,718,3.9,23.102888,113.28732
广州美术学院美术馆,江南西,713,3,23.098463,113.284546
九禾美术馆,江南西,831,3,23.096117,113.28082
帕乐菲尔儿童乐园,江南西,812,1,23.10575,113.287926
南海千灯湖公园,千灯湖,949,4.2,23.057692,113.153595
西苑小游园,西村,725,5,23.14166,113.25005
西焦生态公园,西村,856,4.3,23.140837,113.24543
增埗公园,西村,761,4,23.154146,113.245125
海珠湖公园,大塘,636,4.6,23.078543,113.33099
区家祠,农讲所,350,5,23.135662,113.28349
八旗博物馆,农讲所,998,5,23.123959,113.282
秦代造船遗址,农讲所,543,5,23.132612,113.276474
广州普公汉代陶瓷博物馆,农讲所,996,5,23.123972,113.28204
南越王宫御苑,农讲所,542,5,23.132711,113.27648
忠佑广场,农讲所,499,5,23.132168,113.27696
中共广东区委旧址纪念馆,农讲所,452,5,23.128874,113.281525
广东省广业轻化工业集团多煤体会议室,农讲所,969,5,23.137222,113.27353
君宝轩艺术馆,农讲所,639,5,23.12769,113.27922
大佛古寺(惠福东路),农讲所,937,4.8,23.127758,113.27454
广州革命历史博物馆,农讲所,843,4.7,23.134771,113.28978
广东都城隍庙,农讲所,450,4.5,23.13249,113.277405
鲁迅纪念馆,农讲所,339,4.5,23.130638,113.283966
