name,subway,distance,service_rating,price,environment_rating,overall_rating,location_lat,location_lng
傲云谷保健按摩中心,海珠广场,937,0,216,0,3.7,23.112814,113.27138
沐足城,海珠广场,921,0,68,0,-1,23.126305,113.2794
富侨棋牌沐足,海珠广场,742,0,61,0,3.4,23.115074,113.269424
足之轩沐足,海珠广场,979,0,72,0,4.5,23.116335,113.26432
逃出广州,海珠广场,835,0,68,0,4,23.12757,113.27665
谜室,海珠广场,698,0,53,0,-1,23.127342,113.27377
广州筋骨堂（海珠）总店,海珠广场,998,0,120,0,5,23.112848,113.26872
F276,海珠广场,890,0,164,0,4.4,23.121574,113.281
K歌王量贩式KTV(天河东路店),岗顶,695,2.8,67,3.1,4.1,23.142649,113.339745
广州中影乐佳影城,岗顶,922,0,50,0,3.8,23.147448,113.35115
国德国际大酒店-水疗桑拿馆,岗顶,784,0,500,0,3.8,23.141806,113.33861
潮汇PTV,岗顶,952,0,64,0,3.2,23.13282,113.35019
嘉年华桑拿,岗顶,695,0,406,0,3.1,23.134438,113.344666
汇潮阁休闲中心,岗顶,427,0,200,0,3.8,23.138474,113.34967
金城桑拿,岗顶,981,0,50,0,3.6,23.13231,113.34963
丽柏国际酒店柏悦棋牌足浴会所,岗顶,201,0,85,0,4.9,23.142351,113.34611
世外桃源至尊国际休闲会所,岗顶,784,0,368,0,3.7,23.141787,113.33861
天之骄桑拿健身中心,岗顶,597,0,260,0,2.2,23.13613,113.34949
源缘棋牌沐足,岗顶,692,0,69,0,4.2,23.135492,113.35012
嘉逸国际酒店-沐足与推拿中心,岗顶,824,0,70,0,-1,23.146582,113.34148
动静界(天河北店),岗顶,688,0,151,0,4,23.146687,113.34531
华侨友谊酒店懂生沐足中心,岗顶,740,0,131,0,3.4,23.137096,113.33995
LAVISKI,岗顶,890,0,87,0,5,23.14474,113.33873
捷硕科技,岗顶,221,0,80,0,5,23.138968,113.344826
青城承道推拿,岗顶,586,0,198,0,-1,23.14184,113.34059
华威达健康中心,岗顶,924,0,100,0,1.5,23.13293,113.34979
华威达KTV,岗顶,978,0,50,0,3.2,23.13235,113.34965
御兰轩艾灸养生馆,岗顶,808,0,158,0,5,23.147799,113.34562
茱迪DIY蛋糕坊,三溪,447,0,100,0,4.7,23.114265,113.42235
道辉养心堂中医推拿,三溪,410,0,220,0,-1,23.113798,113.42334
安然纳米汗蒸馆(美林店),三溪,704,0,90,0,4.4,23.11607,113.41959
岸尚水堂水疗会馆,南洲,53,0,404,0,2.3,23.069464,113.304504
水晶宫商务休闲会馆,南洲,312,0,323,0,3.4,23.07272,113.3047
粤明休闲会馆,南洲,614,0,380,0,2.6,23.073801,113.30009
劲派KTV,南洲,802,0,57,0,3.4,23.073755,113.29772
南悦休闲会所,南洲,579,0,280,0,2.8,23.07495,113.30588
南洲芬兰浴沐足中心,南洲,335,0,50,0,3.5,23.070276,113.307625
泰丰休闲会所,南洲,765,0,100,0,2.9,23.073473,113.29795
紫龙桑拿沐足健康中心,南洲,827,0,138,0,2.1,23.07494,113.31034
东晶富足堂,南洲,535,0,108,0,3.9,23.072731,113.30011
富侨健康休闲中心,南洲,812,0,87,0,3.3,23.077213,113.30372
维雅沐足,南洲,844,0,65,0,3.2,23.077463,113.30535
嘉乐城休闲中心,南洲,901,0,68,0,3.2,23.076603,113.309364
祝健推拿,南洲,834,0,60,0,4,23.07465,113.31071
富源休闲会所,小北,374,0,76,0,3.7,23.148277,113.28538
东日休闲健康中心,小北,379,0,164,0,3.1,23.148815,113.284584
知足常乐(粤新沐足),小北,381,0,78,0,4.1,23.14542,113.286644
天润会所,小北,591,0,398,0,5,23.144844,113.288635
御足堂(裕华店),小北,287,0,124,0,4.5,23.145046,113.28563
妙手通养生会所,小北,614,0,100,0,3.7,23.142008,113.27853
广州市越秀区醍思觅生活馆,小北,582,0,58,0,-1,23.140562,113.28226
劲鹰KTV,小北,474,0,120,0,3.9,23.147251,113.287285
漂亮宝贝儿童摄影城,小北,235,0,103,0,4,23.146713,113.280876
波涛阁桑拿沐足休闲中心,花地湾,658,0,200,0,3.2,23.09505,113.23459
盛会,花地湾,538,0,100,0,2.4,23.097672,113.24066
西部牛仔KTV,花地湾,667,0,100,0,4,23.098272,113.24331
