name,subway,distance,service_rating,price,overall_rating,facility_rating,hygiene_rating,location_lat,location_lng
广州东方住宿东圃店,车陂,992,0,70,2.3,0,0,23.122936,113.40657
广州石碁好再来公寓,车陂,755,0,37,2.2,0,0,23.136652,113.398224
广州真利来住宿车邶店,车陂,198,0,58,2,0,0,23.1295,113.40049
燊溢公寓,车陂,992,1,68,1.8,1,1,23.122074,113.404175
广州阿云家庭旅馆,广州火车站,650,0,59,4.6,0,0,23.149174,113.2584
广州铁路招待所环市西路店,广州火车站,651,0,65,4.6,0,0,23.151718,113.25636
广州潘姐家庭旅馆,广州火车站,668,0,68,4.6,0,0,23.151585,113.25625
广州莲姐家庭旅馆,广州火车站,453,0,93,4.6,0,0,23.156782,113.259346
中国大酒店,广州火车站,904,4.5,729,4.5,4.4,4.5,23.146467,113.26624
广州桐舍酒店(火车站店),广州火车站,422,4.3,246,4.5,4.3,4.5,23.15156,113.2657
惠风和宾馆,广州火车站,644,4.5,0,4.5,3,3.5,23.15507,113.26848
广州网络公寓,广州火车站,635,4.8,108,4.5,4,4.7,23.157772,113.26678
广州楠楠家庭旅馆,广州火车站,359,0,49,4.5,0,0,23.156006,113.2598
东方宾馆,广州火车站,989,4.4,555,4.4,4.2,4.4,23.145174,113.26486
广州星和香江国际酒店,广州火车站,467,4.3,289,4.4,4.2,4.4,23.153522,113.2669
广州缘份客栈,广州火车站,361,4.5,82,4.4,4.3,4.4,23.156038,113.2598
广州鸿源酒店,广州火车站,955,4.3,317,4.4,4.2,4.4,23.161911,113.265335
广州惠民家庭旅馆,广州火车站,477,0,24,4.4,0,0,23.156912,113.25915
广州阿华家庭旅馆,广州火车站,566,0,49,4.4,0,0,23.15279,113.2569
广州广河公寓火车站店,广州火车站,416,4.8,98,4.4,4.8,4.4,23.156279,113.25931
广州远方的家家庭旅馆26号店,广州火车站,648,0,59,4.4,0,0,23.149145,113.25848
广州秀秀家庭旅馆,广州火车站,362,0,102,4.4,0,0,23.15628,113.26008
广州开心人家家庭旅馆,广州火车站,629,0,57,4.4,0,0,23.149511,113.25827
广州永琼平安家庭旅馆,广州火车站,342,0,62,4.4,0,0,23.155375,113.259476
佳园连锁酒店沿江东店,东湖,744,3.9,158,4,3.7,3.9,23.121277,113.28798
汉庭酒店(中山二路店),东湖,850,4.2,195,3.9,3.9,4.3,23.128683,113.29815
广州凯顺宾馆,东湖,872,3.9,138,3.9,3.8,4,23.127932,113.29036
东湖·铭泰公寓营销中心,东湖,336,0,172,3.9,4,4,23.12453,113.295334
城市便捷酒店(广州东山口店),东湖,975,4.2,159,3.8,4,4.2,23.12919,113.299866
金城宾馆,东湖,976,3.7,244,3.7,3.6,3.9,23.129194,113.299866
广州东湖酒店公寓,东湖,338,4.3,143,3.7,4.1,4.4,23.124554,113.29531
君凯酒店,东湖,775,3.8,96,3.7,3.2,3.4,23.125053,113.28872
华南环境科技交流中心招待所,东湖,694,4,99,3.7,3,4,23.125893,113.30009
广州花园青旅(江岭北1号店),东湖,827,3,0,3.7,3,4,23.126259,113.30148
新河宾馆,东湖,605,4.4,80,3.6,4.4,4.4,23.125696,113.299034
7天连锁酒店(中华广场店),东湖,840,4.4,227,3.6,4.3,4.4,23.128393,113.29186
东园宾馆(东华西路),东湖,804,3.5,158,3.4,3.5,3.5,23.127657,113.29111
