name,subway,distance,service_rating,price,environment_rating,overall_rating,location_lat,location_lng
牛牛,磨碟沙,572,3.45,40,3.45,3.5,23.104568,113.34244
Club Five泰餐酒吧,磨碟沙,902,3.5,94,3.5,3.5,23.112276,113.34969
好彩又一鲜酒家,磨碟沙,157,2,76,2.4,3.3,23.104694,113.34655
鲩渔仔(双塔路店),磨碟沙,577,2.7,63,2.8,3.3,23.104622,113.34239
聚宝渔村(万科广场店),礌岗,673,0,42,0,5,23.043312,113.161026
杯子红西餐厅(城市广场店),礌岗,797,3,67,3,4.8,23.042198,113.162704
国味壹号店,礌岗,977,3.2,58,3.2,4.6,23.041006,113.16492
雅达利超级牛扒(桂城店),礌岗,766,0,82,0,4.5,23.042458,113.161156
楚炫堂湖北菜馆(桂城店),礌岗,880,0,50,0,4.5,23.05542,113.16731
过锅瘾三汁焖锅(南海万科广场店),礌岗,630,3.85,53,3.75,4.4,23.043678,113.16119
湘拉拉,礌岗,784,4.1,50,4.3,4.4,23.042374,113.160484
莱茵阁●西餐咖啡厅(桂城店),礌岗,841,2.8,83,2.8,4.4,23.04177,113.16234
二郎田鸡(桂城店),礌岗,207,2.9,50,2.9,4.3,23.047773,113.16068
德庄火锅(家天下店),礌岗,247,2.9,50,2.9,4.2,23.047178,113.161156
品然轩,礌岗,190,3.2,74,3.2,4.2,23.047728,113.161125
烤肉先生,礌岗,648,3.8,63,3.8,4.1,23.043543,113.16093
人山人海国际美食会,礌岗,194,3.2,101,3.4,4,23.047869,113.16076
叹茶去,礌岗,766,3.7,54,4,3.9,23.042498,113.160774
丰依粥食(桂城店),礌岗,194,2.3,55,2.3,3.8,23.047762,113.160965
禾绿回转寿司(万科广场店),礌岗,707,4.35,69,4.35,3.8,23.042997,113.16109
意家之煮海鲜肥牛自助火锅(桂城店),礌岗,904,0,100,0,3.8,23.04122,113.162636
回味麻辣香锅,礌岗,544,3.95,52,3.85,3.8,23.044455,113.16126
东海渔总店,礌岗,949,2.8,80,2.8,3.7,23.044569,113.16953
重庆烤鱼餐馆,礌岗,249,3,40,3,3.5,23.047785,113.16005
